No,Loan_No,Loan_Code,Batch,Township,Region_State,Entity Name,Loan_Type,Company_Registration_No,Source
1,A-00003,01-001,ပထမအသုတ်,ရွှေပြည်သာ,ရန်ကုန်တိုင်းဒေသကြီး,ရွှေရည်စံပယ် အဝတ်အထည်ထုတ်လုပ်ရေးကုမ္ပဏီလီမိတက်,သိန်း ၁၀၀၀ အထက်,113897643,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
2,A-00004,01-002,ပထမအသုတ်,ရွှေပြည်သာ,ရန်ကုန်တိုင်းဒေသကြီး,"Best Industrial Co.,Ltd",သိန်း ၁၀၀၀ အထက်,106304807,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
3,A-00006,01-003,ပထမအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,"New Green Land Garment Co.,Ltd",သိန်း ၁၀၀၀ အထက်,110409621,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
4,A-00007,01-004,ပထမအသုတ်,မြောက်ဥက္ကလာပ,ရန်ကုန်တိုင်းဒေသကြီး,SHWE ZIN AYE GARMENT AND GENERAL TRADING COMPANY LIMITED,သိန်း ၁၀၀၀ အထက်,111017778,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
5,A-00010,01-005,ပထမအသုတ်,ဒဂုံမြို့သစ်(တောင်ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,"Golden KTK Co.,Ltd",သိန်း ၁၀၀၀ အထက်,108956712,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
6,O-00036,01-006,ပထမအသုတ်,ဒဂုံမြို့သစ်(တောင်ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,"Earth Industrial Myanmar Co.,Ltd",သိန်း ၁၀၀၀ အထက်,101742245,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
7,F-00003,01-007,ပထမအသုတ်,လှိုင်သာယာ,ရန်ကုန်တိုင်းဒေသကြီး,"TOP GROW Co.,Ltd",သိန်း ၁၀၀၀ အထက်,101645487,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
8,H-00010,01-008,ပထမအသုတ်,မရမ်းကုန်း,ရန်ကုန်တိုင်းဒေသကြီး,"International Best Manufacturing Co.,Ltd",သိန်း ၁၀၀၀ အထက်,135919349,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
9,F-00020,01-009,ပထမအသုတ်,လှိုင်သာယာ,ရန်ကုန်တိုင်းဒေသကြီး,လမင်း စက္ကူစက် ကြယ်ပျံ ကုမ္ပဏီလီမိတက်,သိန်း ၁၀၀၀ အထက်,115998366,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
10,F-00022,01-010,ပထမအသုတ်,လှိုင်သာယာ,ရန်ကုန်တိုင်းဒေသကြီး,ကြယ်ပျံ စက္ကူစက် ကြယ်ပျံ ကုမ္ပဏီလီမိတက်,သိန်း ၁၀၀၀ အထက်,115998366,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
11,F-00031,01-011,ပထမအသုတ်,ဗဟန်း,ရန်ကုန်တိုင်းဒေသကြီး,PINE CREST TRADING COMPANY LIMITED,သိန်း ၁၀၀၀ အထက်,100641194,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
12,F-0044,01-012,ပထမအသုတ်,ဗဟန်း,ရန်ကုန်တိုင်းဒေသကြီး,"Myanmar Infrastructure Co.,Ltd",သိန်း ၁၀၀၀ အထက်,109779148,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
13,H-00021,01-013,ပထမအသုတ်,စမ်းချောင်း,ရန်ကုန်တိုင်းဒေသကြီး,"Shwe Hinthar Yeik Mon Co.,Ltd",သိန်း ၁၀၀၀ အထက်,111535442,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
14,D-00001,01-014,ပထမအသုတ်,ဗိုလ်တထောင်,ရန်ကုန်တိုင်းဒေသကြီး,Eastern Princess Travels & Tours,သိန်း ၁၀၀၀ အောက်,113723254,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
15,F-00006,01-015,ပထမအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,MAY MYAT SWE အိမ်တွင်းအထည်ချုပ်လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
